작업일,지시자,지시 시간,작업물,작업량(kg),배합 가마,현재 단계
2025-02-17,위성진1,20:32,햄부슥탁스햄부기햄부르크햄부기온앤온 ,10,a,1: 측량 진행 중
2025-02-17,위성진1,20:32,햄부슥탁스햄부기햄부르크햄부기온앤온 ,20,a,2: 측량 완료
2025-02-17,위성진1,20:32,햄부슥탁스햄부기햄부르크햄부기온앤온 ,5,a,4: 배합 완료
2025-02-17,위성진1,20:32,햄부슥탁스햄부기햄부르크햄부기온앤온 ,30,a,2: 측량 완료
2025-02-17,위성진1,20:43,햄부슥탁스햄부기햄부르크햄부기온앤온 ,10,a,2: 측량 완료
2025-02-17,위성진1,20:45,햄부슥탁스햄부기햄부르크햄부기온앤온 ,3,a,2: 측량 완료
2025-02-17,위성진1,20:47,햄부슥탁스햄부기햄부르크햄부기온앤온 ,12,a,2: 측량 완료
2025-02-17,위성진1,20:47,햄부슥탁스햄부기햄부르크햄부기온앤온 ,12,a,2: 측량 완료
2025-02-17,위성진1,20:50,햄부슥탁스햄부기햄부르크햄부기온앤온 ,1354,a,2: 측량 완료
2025-02-17,위성진1,20:58,햄부슥탁스햄부기햄부르크햄부기온앤온 ,312,a,2: 측량 완료
2025-02-17,위성진1,20:59,햄부슥탁스햄부기햄부르크햄부기온앤온 ,123,a,2: 측량 완료
2025-02-17,위성진1,21:12,햄부슥탁스햄부기햄부르크햄부기온앤온 ,11,a,2: 측량 완료
2025-02-17,위성진1,21:13,햄부슥탁스햄부기햄부르크햄부기온앤온 ,21312,a,2: 측량 완료
2025-02-17,위성진1,21:15,햄부슥탁스햄부기햄부르크햄부기온앤온 ,10,a,2: 측량 완료
